number,category,title,has_image,comment_count,date,view_count,link,board,content,image_count
1045171,잡담,와 직잭팟 만포 받았다,False,8,26.06.16,1363,https://theqoo.net/beauty/4246184945?page=328,beauty,받을줄 몰랐는데,0
1045168,스퀘어,지그재그 5천포 뿌림 빨리빨리,True,181,26.06.16,6965,https://theqoo.net/beauty/4246179928?page=328,beauty,"https://abrad.zigzag.kr/p4xfc5o
나도 링크 딴데서 가져온거임 리워드링크 그런건지는 모르겠는데 아마 아닐듯 5천포라 후다닥 가져옴",1
1045018,잡담,지그재그 토스쿠폰 취소하면 안 돌아와?,False,1,26.06.16,422,https://theqoo.net/beauty/4245526127?page=336,beauty,룰렛 만원 쿠폰... 다른 거 사고싶은데 퓌서하고 재결제하면 날아가려나?🥹,0
1044998,잡담,토스 직잭쿠폰 오늘쓸지 고민된다,False,0,26.06.15,343,https://theqoo.net/beauty/4245405782?page=337,beauty,"오늘쓸지.  21일까지 두고볼지 ..!!!
화장품 비싸서 옷사야할거같은데 오늘까지하는 세일이 많네.
이러고 주말에 또 하려나 ㅎㅎㅎ..",0
1044992,잡담,직잭에서 산거 자랑😎,True,1,26.06.15,837,https://theqoo.net/beauty/4245395595?page=337,beauty,✌️ 다해서 7마넌에 샀다,2
1044986,잡담,직잭에서 파는 디올 파데 정품일까,True,8,26.06.15,1046,https://theqoo.net/beauty/4245361868?page=337,beauty,,1
1044984,잡담,지그재그 오프라 하이라이터,False,1,26.06.15,521,https://theqoo.net/beauty/4245353338?page=337,beauty,얼마 정도면 나쁘지 않게 산거야??,0
1044973,잡담,직잭 리뷰 마일리지 잘알 있을까?,True,2,26.06.15,398,https://theqoo.net/beauty/4245304717?page=338,beauty,리뷰 쓰기 전에는 1000마일리지 뜨는데 쓰면 500까지만 뜸 왜그럴까 박박 모으는중이라 천 받고싶엉,2
1044970,잡담,무신사메가스토어 성수 천국이다.....,False,5,26.06.15,1172,https://theqoo.net/beauty/4245288966?page=338,beauty,"올영에 없을법한 브랜드 테스터 쫙 깔려있는데
웬만한 제품군 전색상 테스트 가능이었음 ㅠ..
인기멤 차별 x..
주말에 간 거라 브랜드들이 생각 안 나는데,, (진짜미안)
성수 갈 일 있으면 메가스토어 뷰티 들러봐!! 향수도 잘해놨더라,,",0
1044943,잡담,지그재그는 가격시스템이 뭐 어떻길래 저렇게 오류 ㅋ 가 잦을까?,False,4,26.06.15,791,https://theqoo.net/beauty/4245199507?page=339,beauty,어디 좆소거도 아니고 카카오거아님?ㅎ,0
1044896,잡담,직잭에 투크 4구 판매중단 풀리고 다시 들어와서 신나서 달려갔더니,False,0,26.06.15,432,https://theqoo.net/beauty/4245071947?page=342,beauty,쿠폰 막아놔서... 올영이랑 천원 차이네 걍...,0
1044874,잡담,어우 직잭 2천포 겨우 받음,False,3,26.06.15,624,https://theqoo.net/beauty/4244965878?page=343,beauty,만포는 못받겟다...,0
1044866,잡담,뭐지 직잭 토스 쿠폰 2번만에 만원 뽑음,False,3,26.06.15,627,https://theqoo.net/beauty/4244935037?page=343,beauty,저번에는 진심 70번은 누른거 같은데ㅋㅋㅋㅋㅋㅋㅋ 다행이다,0
1044865,잡담,무신사 쿠폰 쏠쏠한 거 같아서 장바구니에 홀린듯이 담았다가 총액 보고 다시 내려놓음,False,0,26.06.15,165,https://theqoo.net/beauty/4244932741?page=343,beauty,괜찮은데? 이러면서 담으니까 배보다 배꼽이 커짐ㅋㅋㅋㅋㅋㅋ,0
1044817,잡담,올영 아세페 무신사 직잭 지갑 다 뜯긴 덬들도 있겠지?,False,2,26.06.15,291,https://theqoo.net/beauty/4244762970?page=346,beauty,...🙄,0
1044805,잡담,토스 직잭쿠폰 일단 받긴했는데,False,5,26.06.15,595,https://theqoo.net/beauty/4244722784?page=346,beauty,"지금 무신사도 세일하고 쿠폰주고 그래서
그냥 정상가는 직잭이 훨비싸다. (지금 뭐 쿠폰 뿌리기는 하는데 원래 비싸서 쿠폰써도 비싸 ㅋㅋㅋㅋ)
너네 뭐 사 ? 스킨케어 좀 사려했는데  무신사가 더 싸거나. 올영기획이 더싸 ㅠ 실망 …",0
