post_id,board,category,title,author,comment_count,view_count,like_count,created_date,has_image,image_count,post_url,search_keywords,search_boards,content
65011768,name,1,트위드 사이즈 봐주실분!!!도와주세욥ㅜㅜ,Unknown,0,20,0,2025-11-25 14:05,True,2,https://www.instiz.net/name/65011768,무신사,name,"혹시 무신사 트위드 사본적있어????어깨가 크게 나왔다해서 고민인데ㅜㅜ이거 S사도 괜찮을까??xs는 무리겠지?ㅜㅜ하객룩에 입으려구!!
키 160/바스트 큼 / 어깨 넓지않음 이라서 고민이야!!
제발도와죠ㅜㅜㅜㅜ"
65011221,name,1,다들 eql에서 옷사..,Unknown,26,1271,0,2025-11-25 13:30,False,0,https://www.instiz.net/name/65011221,무신사,name,"관심 그만 받기를 설정한 글입니다
무신사보다 쿠폰도 개후하고 앵간한거 다 입점돼있는데..
뭐만하면 20퍼 쿠폰이나 적어도 15퍼는줌
다들 고능소비하자.. 종종 3-4만원 더 주고 사는 분들 많아서 안타까움"
65011209,name,1,옷이랑 고백성공이랑 대체 무슨 상관임?,Unknown,2,29,0,2025-11-25 13:29,False,0,https://www.instiz.net/name/65011209,에이블리,name,"에이블리 후기보면 이거 입고 고백 성공했어요 이러던데 대체 뭔 상관일까
저런 후기 심지어 상품 설명에 캡쳐해서 갖다가 쓰던데 ? 상태됨
몸매가 예뻐보이는 옷도 아니고 걍 .. 흔한 니트티임"
65011056,name,1,무신사 블프 수요일 23:59 까지인 거 맞지??,Unknown,0,35,0,2025-11-25 13:12,True,2,https://www.instiz.net/name/65011056,무신사,name,"분명 날짜는 맞는데 종료 1일 전 10:49 이러니까 갑자기 헷갈림
쿠폰 낼까지 쓸 수 있는 거 맞겠지"
65010844,name,1,요즘 왜이렇게 옷 사기가 힘들지,Unknown,1,37,0,2025-11-25 12:47,False,0,https://www.instiz.net/name/65010844,"에이블리,직잭",name,"조금만 질 괜찮은것들은 10만원대로 후욱 올라가고
그나마 에이블리나 직잭에서 사려하면 다 완전 한두번도 못입을거같은 싸구려 재질.. ㅜㅜ 천쪼가리 죽죽 잘라 이어붙인거같이 생김
디자인도 복사붙여넣기한거마냥 다 똑같고
바지는 하나같이 무슨 안에 드라이기로 계속 바람 쐬어주는거마냥 거대해보이고
상의는 죄다 째끄맣고 짧고..
좀만 꾸미고 나갈때 입을 옷 사볼까 해서 보면
죄다 무슨 팬티나 속바지같이 엉밑살 보이는 바지들 뿐임
옷고르기 너무 힘들다.."
65010751,name,1,지그재그 등급 기간 너무 짧지 않아?,Unknown,0,12,0,2025-11-25 12:37,False,0,https://www.instiz.net/name/65010751,지그재그,name,6개월은 인간적으로 너무 짧다고 생각해.. 한찬 많이 살때도 있고 한동안 아예 안살때도 있는데 기껏 등급 높아져도 한동안 옷 안사면 등급 쭉쭉 내려가있더라...
65010009,name,1,무신사 한정수량 누가 성공하는거야,Unknown,1,33,0,2025-11-25 11:06,False,0,https://www.instiz.net/name/65010009,무신사,name,진짜 뭔 몇초만에 품절뜨는데
65008519,name,1,흠 무신사 오류인가,Unknown,0,23,0,2025-11-25 01:49,False,0,https://www.instiz.net/name/65008519,무신사,name,취소요청 들어간 거까지 확인했거든? 근데 더시 상품준비중됌 ㅠ 취소요청 눌러도 1회만 가능하다고 뜨고
65007717,name,1,무신사 블프 뭐 사고 싶은데 뭘 살지 몰라서 하나도 못삼 ㅋㅋㅋ,Unknown,0,17,0,2025-11-25 00:11,False,0,https://www.instiz.net/name/65007717,무신사,name,화장품이라도 사고 싶은데 뭐가 싼지도 몰겠음
65007471,name,1,아직 노르딕 디자인 많이 입어?,Unknown,0,47,0,2025-11-24 23:51,True,1,https://www.instiz.net/name/65007471,무신사,name,"무신사 세일때 사보려고 하는데
너무 유행템이야?"
65004917,name,1,스컬프터 지갑 귀여버서 살려는데 색상 고민만 일주일째,Unknown,1,64,0,2025-11-24 19:20,True,2,https://www.instiz.net/name/65004917,무신사,name,무신사 세일해서 살려궁 ㅋㅋ 똑딱이 카드지갑임 ..
65003549,name,1,카카오톡 오픈채팅 억울하게 정지되외서 정성스럽게 문의하니 풀어주네,Unknown,2,51,0,2025-11-24 16:28,False,0,https://www.instiz.net/name/65003549,에이블리,name,그저 에이블리 쿠폰 공유한거밖에없었는데
65003021,name,1,키작녀 슽체형 부츠컷트레이닝 바지좀 추천해주라(질),Unknown,0,14,0,2025-11-24 15:23,False,0,https://www.instiz.net/name/65003021,에이블리,name,"질좋은 부츠컷트레이닝 바지좀 추천해주라 ㅜㅜㅜㅜㅜㅜ
내가 부츠컷을 입으면 길어보이더라고….
무튼 찰떡이라서
에이블리에서 몇장 샀는디 그닥 저렴한것도 아니고
건조기도 안돌리는데 한철 느낌이야…ㅠㅠㅠㅠ"
65002980,name,1,무신사 경랑 패딩 그거 언제 입고 된대?,Unknown,0,13,0,2025-11-24 15:19,False,0,https://www.instiz.net/name/65002980,무신사,name,ㅈㄱㄴ
65002916,name,1,무신사 왜 여자건 별로 안싼느낌이지...,Unknown,8,83,0,2025-11-24 15:13,False,0,https://www.instiz.net/name/65002916,무신사,name,남자건 괜찮은거 많던데.. 나만 이렇게 느끼나..
